0000, 8ee8
0001, beb8
0002, 8c48
0003, 7bb8
0004, 8447
0005, 7cc7
0006, be77
0007, 84c8
0008, 7447
0009, 7448
000a, bb87
000b, 8cc7
000c, 8beb
000d, 7b8e
000e, ee77
000f, 8cc8
0010, 4e48
0011, ded8
0012, 5c58
0013, 2ba5
0014, 84eb
0015, bc66
0016, d5cb
0017, 5408
0018, 6f8b
0019, b495
001a, 2b1b
001b, 5d7b
001c, 3bfb
001d, d048
001e, 4ed6
001f, 8cb8
0020, e278
0021, 9298
0022, 4048
0023, b159
0024, 45fb
0025, d0d6
0026, 5ab7
0027, 45c8
0028, de46
0029, d5f5
002a, 8187
002b, 3bc6
002c, 516e
002d, 03eb
002e, 7206
002f, 40d8
0030, 1448
0031, 24a5
0032, 4b95
0033, add8
0034, f586
0035, cb66
0036, d3c6
0037, 3508
0038, 28eb
0039, a558
003a, ad46
003b, 3676
003c, 3dfb
003d, 2218
003e, 14d6
003f, 1bb8
0040, e7b1
0041, 8781
0042, 4d94
0043, 09e3
0044, 448a
0045, cd62
0046, 967a
0047, 4473
0048, 2f9c
0049, c483
004a, 998a
004b, 4c7a
004c, 59bf
004d, 78ec
004e, 7772
004f, 4d61
0050, 42c1
0051, 12f3
0052, 5033
0053, c1f3
0054, e532
0055, 00aa
0056, 4c2c
0057, 55a3
0058, b932
0059, 0533
005a, 1112
005b, 86a2
005c, 41df
005d, c412
005e, 22aa
005f, e0a1
0060, 4e11
0061, d5c4
0062, 5d14
0063, d6c3
0064, 5f1a
0065, b2c2
0066, deaa
0067, 54a3
0068, 6f1c
0069, 6313
006a, d01a
006b, 5caa
006c, 3bfd
006d, d011
006e, 48c2
006f, 8cc1
0070, 872e
0071, 573e
0072, 8de4
0073, 693e
0074, 84ed
0075, 6d0d
0076, 57d0
0077, 8404
0078, 64ed
0079, 64e4
007a, 5940
007b, 8d0d
007c, 8929
007d, 6947
007e, b7d0
007f, 8d04
0080, 17b4
0081, f6e4
0082, 3c85
0083, 2e81
0084, 4f97
0085, 2a6b
0086, f67c
0087, 3475
0088, a480
0089, 2398
008a, 18ec
008b, 3c70
008c, 39b1
008d, a982
008e, cb72
008f, 1d6e
0090, 1778
0091, 4759
0092, 3df5
0093, a998
0094, 1446
0095, add6
0096, 30b0
0097, 34c8
0098, 23fb
0099, a448
009a, f9e6
009b, 42c6
009c, 396e
009d, 2e87
009e, c706
009f, 1dd8
00a0, 4481
00a1, 2474
00a2, 8be4
00a3, adb3
00a4, 558a
00a5, 7bb2
00a6, df7a
00a7, 5573
00a8, beec
00a9, 0583
00aa, dd8a
00ab, 507a
00ac, 3ded
00ad, 2ce1
00ae, 14b2
00af, 8bb1
00b0, e2c1
00b1, 5a41
00b2, 3b13
00b3, 6f4f
00b4, 4e1a
00b5, 26a2
00b6, 92aa
00b7, 45a3
00b8, de1a
00b9, 2813
00ba, 931a
00bb, 40aa
00bc, 51df
00bd, 031c
00be, bc2c
00bf, 40a1
00c0, 84e4
00c1, 6404
00c2, 5bf8
00c3, 6d04
00c4, 5516
00c5, bba6
00c6, 640d
00c7, 85c5
00c8, 651b
00c9, 65f8
00ca, 6ded
00cb, 5ba6
00cc, 8ded
00cd, 6de4
00ce, 840d
00cf, 8bc8
00d0, 148e
00d1, dfb8
00d2, 3084
00d3, 2278
00d4, 4eec
00d5, 27b2
00d6, df77
00d7, 3574
00d8, a58c
00d9, 28e4
00da, 2ce7
00db, 307c
00dc, 3deb
00dd, ad8e
00de, 41bb
00df, 1bb1
00e0, ee11
00e1, bed3
00e2, 4c33
00e3, 7bd3
00e4, 1442
00e5, ccaa
00e6, b8c2
00e7, 44a3
00e8, 2142
00e9, c433
00ea, 7b42
00eb, 42c2
00ec, 8bfd
00ed, b744
00ee, eeaa
00ef, 1cc1
00f0, 8228
00f1, e218
00f2, 8058
00f3, 7118
00f4, 8557
00f5, 7007
00f6, e2c7
00f7, 8508
00f8, 7557
00f9, 7558
00fa, e147
00fb, 8007
00fc, 812e
00fd, 714b
00fe, b2c7
00ff, 8008
0100, 3ef8
0101, 5e58
0102, 5cd8
0103, a25b
0104, 5457
0105, f701
0106, 67fc
0107, 54fb
0108, f2d1
0109, f852
010a, db37
010b, 31fc
010c, 6b9b
010d, 9831
010e, f19e
010f, 5c08
0110, 6e08
0111, 4e18
0112, 8c78
0113, 652c
0114, 54de
0115, df12
0116, 2269
0117, 8487
0118, 270d
0119, 3d2c
011a, 5b57
011b, 285f
011c, 2b47
011d, 4106
011e, 6014
011f, 5cf8
