0000, 2131
0001, ecbf
0002, cc78
0003, 2f53
0004, 9f3f
0005, 2c91
0006, 213b
0007, 5c25
0008, 9593
0009, c125
000a, 912f
000b, ec3b
000c, 21b3
000d, c128
000e, e55f
000f, 9c73
0010, b987
0011, 87de
0012, 1ca1
0013, f370
0014, c31e
0015, 4c37
0016, 8960
0017, 7ca8
0018, 2478
0019, 0990
001a, a52e
001b, ec36
001c, a5b0
001d, 99e1
001e, 64fe
001f, d786
0020, def9
0021, 3dc2
0022, 9491
0023, 21b6
0024, 691e
0025, b457
0026, 8336
0027, 0663
0028, 2c70
0029, 03a8
002a, 8a2e
002b, 869c
002c, d87a
002d, 2e31
002e, f04e
002f, d2b0
0030, 7e61
0031, f6af
0032, 67c6
0033, 6bcc
0034, 4599
0035, 74a1
0036, 6303
0037, 2f5e
0038, 37cc
0039, 959e
003a, 330f
003b, f663
003c, 7eab
003d, 6bb6
003e, 2ff9
003f, d4ab
0040, e341
0041, 3d73
0042, 749d
0043, 6913
0044, 118f
0045, e46d
0046, 4ea1
0047, 76b9
0048, 1c13
0049, 1e34
004a, d878
004b, e6e1
004c, 8a23
004d, 73c7
004e, f085
004f, d223
0050, 4ba2
0051, 2ba7
0052, 94fe
0053, 9892
0054, e857
0055, e7de
0056, 4b0e
0057, 4459
0058, e2f9
0059, 2e52
005a, 9709
005b, 2767
005c, 9762
005d, 2e3e
005e, 42f7
005f, ebd9
0060, 191e
0061, 6c0e
0062, 0cc0
0063, 67a6
0064, 17ee
0065, 9cfe
0066, f9a6
0067, cc77
0068, 9508
0069, 19f1
006a, c97e
006b, 2c96
006c, 09c6
006d, f9fd
006e, 95e3
006f, 7ce6
0070, 937e
0071, 462e
0072, c7e3
0073, 3599
0074, 5b43
0075, 140e
0076, 7e69
0077, 6f39
0078, a71f
0079, 0b8f
007a, bede
007b, 9629
007c, 4379
007d, 659e
007e, 3f3e
007f, d4a9
0080, ea2e
0081, 9a79
0082, 1cfe
0083, e519
0084, db37
0085, d2de
0086, d807
0087, 2082
0088, b792
0089, 1159
008a, 12a9
008b, 4d7e
008c, ed29
008d, 991e
008e, ef87
008f, b862
0090, 216e
0091, ecae
0092, 62e3
0093, f81f
0094, 3843
0095, 9c0e
0096, 91d9
0097, 828f
0098, 32ef
0099, 684f
009a, 41de
009b, ec69
009c, 21a9
009d, f883
009e, 8213
009f, 4c09
00a0, 23e1
00a1, 662f
00a2, c416
00a3, 6293
00a4, 7d5f
00a5, 24a1
00a6, 9edb
00a7, c6d2
00a8, 1a93
00a9, 0e4c
00aa, 7ebf
00ab, 264b
00ac, 6373
00ad, c307
00ae, 683f
00af, 1473
00b0, d5bd
00b1, ebdf
00b2, 2407
00b3, ea74
00b4, 5a95
00b5, d751
00b6, a5d3
00b7, 94f3
00b8, 42a9
00b9, c3f3
00ba, 5f65
00bb, e7d3
00bc, bfb4
00bd, 237d
00be, e2ff
00bf, db34
00c0, 79c1
00c1, 4c0f
00c2, 6278
00c3, 3aab
00c4, daf9
00c5, 7c91
00c6, c903
00c7, 62ee
00c8, 82c5
00c9, 1a9e
00ca, a9af
00cb, 9c03
00cc, d9cb
00cd, 6aa1
00ce, 32e9
00cf, bcfb
00d0, 7e3e
00d1, f6be
00d2, f410
00d3, 9d66
00d4, 92ee
00d5, 14fe
00d6, f396
00d7, 16d7
00d8, 9aa6
00d9, 1307
00da, 637e
00db, f636
00dc, 7eb6
00dd, 6e40
00de, 288e
00df, 74c6
00e0, d804
00e1, 6a65
00e2, 2c0d
00e3, 2ba4
00e4, 85ff
00e5, d26d
00e6, 8ad3
00e7, f033
00e8, e704
00e9, 69f3
00ea, 8ddf
00eb, 3da5
00ec, 12d4
00ed, 2161
00ee, 6f95
00ef, b864
00f0, e19b
00f1, 27b8
00f2, 7ca7
00f3, 2e43
00f4, 2e85
00f5, ec31
00f6, e191
00f7, dcd9
00f8, 9413
00f9, 7169
00fa, 4b73
00fb, 2c31
00fc, 4bc5
00fd, 716e
00fe, 448f
00ff, e723
0100, 2535
0101, c178
0102, ebb5
0103, 275b
0104, 97f4
0105, ef35
0106, 2595
0107, 9b78
0108, eb5b
0109, 97cf
010a, cc75
010b, 2f98
010c, cc25
010d, 27b5
010e, 9b91
010f, 5125
0110, 58da
0111, 8b8b
0112, da9a
0113, a592
0114, 45ab
0115, bd5a
0116, d8b2
0117, eac5
0118, 37ef
0119, d2c2
011a, 4f6b
011b, edb5
011c, 5f39
011d, a20c
011e, 871b
011f, 8b8f
0120, 756a
0121, 2a5b
0122, d50c
0123, c8ef
0124, eafb
0125, bfda
0126, ebb2
0127, 2bc2
0128, a2e5
0129, e7c2
012a, ed5b
012b, 27b2
012c, 028f
012d, 1f0a
012e, 2dfb
012f, 584f
0130, 4daa
0131, 77b2
0132, d420
0133, 7245
0134, 3d84
0135, ea66
0136, e247
0137, 36c9
0138, d845
0139, 33b7
013a, bb29
013b, e8e2
013c, 253a
013d, becc
013e, fa44
013f, ef5a
0140, 8b65
0141, 6af4
0142, d5a5
0143, 8afb
0144, 38b6
0145, df65
0146, 750f
0147, 3b63
0148, 32cc
0149, df68
014a, 627a
014b, 67af
014c, 8d5b
014d, 87a5
014e, 3d5d
014f, 38bc
0150, 46af
0151, 9df0
0152, 93a8
0153, 969c
0154, e656
0155, 4368
0156, 46a3
0157, 43df
0158, e3fa
0159, 966f
015a, 2afc
015b, 93d3
015c, 2a3a
015d, 9663
015e, 43f6
015f, 4d5a
0160, 3b6c
0161, 5122
0162, bb8a
0163, bf49
0164, 3f6c
0165, 4f6f
0166, db42
0167, 8b62
0168, eb59
0169, afb2
016a, d03b
016b, ef45
016c, 305b
016d, 5f2a
016e, eb5c
016f, a1ba
0170, 8238
0171, 070f
0172, d428
0173, 3d8a
0174, 92cc
0175, ba53
0176, ddf8
0177, 36c3
0178, 482a
0179, bec3
017a, 15fa
017b, 8898
017c, 5bdf
017d, 33b8
017e, fa1c
017f, bf5c
0180, 3c68
0181, f7fc
0182, 7903
0183, 8cfa
0184, 40d6
0185, d9d8
0186, b0a3
0187, 616f
0188, e90c
0189, 10df
018a, 95ac
018b, 31a3
018c, 3b5a
018d, 6ca8
018e, 8156
018f, 4fda
0190, ef95
0191, 1da8
0192, 4cb8
0193, 274a
0194, 271c
0195, e538
0196, ef98
0197, 9c23
0198, 4b8a
0199, 41c3
019a, 7a0f
019b, 2538
019c, 7a65
019d, 41cf
019e, 9b10
019f, bddf
01a0, 8835
01a1, c302
01a2, d8b5
01a3, ed8b
01a4, 9204
01a5, dd35
01a6, 1a9f
01a7, 6acf
01a8, 486b
01a9, 727f
01aa, c4ea
01ab, f295
01ac, 56d2
01ad, 8db5
01ae, 9a14
01af, ae4c
01b0, a4d0
01b1, 4d8a
01b2, 13f6
01b3, 549f
01b4, e47b
01b5, b330
01b6, d427
01b7, 93c8
01b8, 43ff
01b9, 747e
01ba, 4824
01bb, 43b8
01bc, a835
01bd, 0406
01be, e31a
01bf, ed35
01c0, 8766
01c1, bd2f
01c2, bc40
01c3, af45
01c4, 3f24
01c5, 45d8
01c6, b78e
01c7, 3c67
01c8, eb45
01c9, a927
01ca, b88b
01cb, e548
01cc, 885a
01cd, a920
01ce, 3b54
01cf, ddda
01d0, 2a6a
01d1, 13d2
01d2, b82a
01d3, 7259
01d4, 8d5c
01d5, 4d6c
01d6, e842
01d7, fab2
01d8, b839
01d9, 8db2
01da, b6d2
01db, 2242
01dc, f48a
01dd, 72ba
01de, fa5c
01df, 3e8c
01e0, b0ac
01e1, 2744
01e2, 7906
01e3, 10ff
01e4, ec14
01e5, d9d0
01e6, 4cb7
01e7, 91be
01e8, b99f
01e9, 9cc7
01ea, 4b84
01eb, 41c9
01ec, 7535
01ed, 10d6
01ee, 91eb
01ef, df35
01f0, 2a65
01f1, 6be6
01f2, eaa5
01f3, fb1c
01f4, 3b80
01f5, ed65
01f6, 9aaf
01f7, 4a08
01f8, 871c
01f9, 4d63
01fa, 671a
01fb, 9d08
01fc, f78c
01fd, 2da5
01fe, 37e6
01ff, 8b8c
0200, dda9
0201, 27b1
0202, 3a30
0203, 8d79
0204, 5fc1
0205, ba67
0206, ef91
0207, 0533
0208, 8a27
0209, aff3
020a, 4b7d
020b, 2531
020c, 48e9
020d, 8dfc
020e, 05b1
020f, 428e
0210, 3be1
0211, 5e00
0212, 9f6b
0213, 9625
0214, 1d3c
0215, 4fa1
0216, 3118
0217, 0039
0218, 1e22
0219, 6185
021a, d690
021b, a097
021c, ed73
021d, 6b44
021e, 08dc
021f, d87e
0220, 2a31
0221, 1960
0222, 9d34
0223, 4c22
0224, 7fdc
0225, 4d91
0226, aee8
0227, 5485
0228, 9122
0229, 0e4f
022a, b000
022b, c448
022c, 27be
022d, ea5b
022e, d5dc
022f, eb7e
0230, 253e
0231, 6170
0232, 8d03
0233, f6a8
0234, 1204
0235, effe
0236, 81c0
0237, 146d
0238, f30f
0239, be0d
023a, 6cca
023b, fc20
023c, 9f9e
023d, fa63
023e, 18a1
023f, 95f9
0240, 374d
0241, bfc6
0242, 25a1
0243, 2373
0244, 1184
0245, e5dd
0246, edfe
0247, 0889
0248, 1477
0249, 2d39
024a, bbe1
024b, a81e
024c, ea28
024d, 67e1
024e, 10bc
024f, b2b7
0250, ed09
0251, 70ad
0252, 230e
0253, 2da9
0254, bf61
0255, ead7
0256, bfa1
0257, d964
0258, ea09
0259, 106b
025a, 19ab
025b, 7561
025c, 93d2
025d, 2667
025e, d5a1
025f, 46d2
0260, 5bc7
0261, 81a0
0262, 3fa6
0263, 8b0e
0264, d1e0
0265, bf9d
0266, 5170
0267, d0e7
0268, af7e
0269, 41f7
026a, 40a3
026b, 80f1
026c, ef13
026d, 4b96
026e, 5070
026f, db1e
0270, 328e
0271, 6774
0272, 5568
0273, 41d5
0274, 03fc
0275, da57
0276, 4f07
0277, b8a6
0278, 50d5
0279, 5d96
027a, 25a9
027b, 3b7d
027c, 8889
027d, e7d8
027e, 14ac
027f, dd39
0280, 8727
0281, c4cb
0282, 1907
0283, 8779
0284, dd31
0285, b567
0286, bd91
0287, cebb
0288, d5a9
0289, 1654
028a, 73fb
028b, 58c1
028c, 3122
028d, fc7e
028e, 58b1
028f, b0d2
0290, 4f99
0291, 2da1
0292, 8ad8
0293, 63d5
0294, c9ac
0295, 455e
0296, 4d0d
0297, 0566
0298, 36d5
0299, 5fa6
029a, 9a04
029b, 2a61
029c, 2539
029d, 8d0f
029e, 00a0
029f, ef59
02a0, 57b7
02a1, 4d70
02a2, 85d0
02a3, 87d7
02a4, 5de1
02a5, d531
02a6, dda1
02a7, d8f3
02a8, 55b7
02a9, 8df3
02aa, 4877
02ab, 88e1
02ac, 4583
02ad, 4730
02ae, 58a1
02af, d787
02b0, 8b7e
02b1, c504
02b2, 10d2
02b3, 8b27
02b4, 5180
02b5, df0e
02b6, a1e0
02b7, 0fdb
02b8, bf6e
02b9, cb4c
02ba, c71a
02bb, 500d
02bc, fc79
02bd, 6122
02be, 50d1
02bf, 19a9
02c0, 881e
02c1, 63a4
02c2, af03
02c3, 2c0f
02c4, 17f4
02c5, ddfe
02c6, 3ec3
02c7, b07d
02c8, c9af
02c9, d19d
02ca, 6475
02cb, 86ad
02cc, 6219
02cd, eb03
02ce, 1574
02cf, 7a92
02d0, 7a6e
02d1, 23d0
02d2, 3d96
02d3, fabe
02d4, be70
02d5, bda7
02d6, 8e16
02d7, 1437
02d8, 8d7e
02d9, de97
02da, e6a0
02db, 6480
02dc, 224e
02dd, fa36
02de, 14b0
02df, e81e
02e0, 2a6e
02e1, c8c6
02e2, 96d2
02e3, ea0e
02e4, 5e26
02e5, ed0e
02e6, 5e70
02e7, a22c
02e8, edd7
02e9, 082c
02ea, c27a
02eb, c4b0
02ec, 26a7
02ed, 43d2
02ee, 5470
02ef, 2309
02f0, edfb
02f1, 72b1
02f2, 9a91
02f3, 21b7
02f4, 1ebb
02f5, 4a3d
02f6, dffe
02f7, d539
02f8, 2c7e
02f9, 7f59
02fa, b8c1
02fb, 753e
02fc, eb79
02fd, 2d31
02fe, d4b4
02ff, e727
0300, 2f21
0301, 55bf
0302, caa7
0303, c153
0304, 6e5f
0305, 2a11
0306, 9d4b
0307, 553b
0308, f493
0309, 0dd2
030a, 6dbf
030b, e52b
030c, cfb3
030d, cf31
030e, 5c5f
030f, fa73
0310, e199
0311, 5fc2
0312, 9f81
0313, 2eb3
0314, 683e
0315, bfe9
0316, ebfa
0317, 0036
0318, fdb0
0319, 7bd8
031a, 81a2
031b, 80aa
031c, dbec
031d, 7161
031e, 064e
031f, a07c
0320, 4d19
0321, aea2
0322, 2511
0323, ffb8
0324, f2fe
0325, d547
0326, e750
0327, 7850
0328, fa76
0329, 7703
032a, 3cde
032b, e80c
032c, a6ea
032d, 1d21
032e, cb3e
032f, a9b6
0330, 7d81
0331, 18af
0332, 6301
0333, 60a2
0334, 3419
0335, 7571
0336, 2703
0337, c18e
0338, 83ab
0339, f4ee
033a, 47af
033b, 1863
033c, 7d1b
033d, 6067
033e, c119
033f, b5cb
0340, eea4
0341, 12b3
0342, 7d27
0343, 7143
0344, 3585
0345, ed14
0346, 9a81
0347, b454
0348, 6f43
0349, bab9
034a, f3b3
034b, 9461
034c, b8c5
034d, 7e31
034e, dc85
034f, 86c5
0350, d0c2
0351, 10c7
0352, 251e
0353, 76e2
0354, 4047
0355, 432e
0356, 4677
0357, da89
0358, e9e2
0359, 2f89
035a, 23c9
035b, 19b7
035c, 79b2
035d, 1d4e
035e, d317
035f, e6b2
0360, 213e
0361, 00be
0362, ff3d
0363, 9fd8
0364, 9083
0365, 1f4e
0366, 2b56
0367, 1051
0368, 61d6
0369, cbb7
036a, 6b6e
036b, f066
036c, 7146
036d, c120
036e, 7b8e
036f, 0f26
0370, 7e6e
0371, d4ae
0372, 605e
0373, cbef
0374, 39fe
0375, 9dbe
0376, ea29
0377, 574f
0378, f099
0379, 8939
037a, 4ace
037b, b4d9
037c, 1e09
037d, 0b83
037e, a713
037f, 2d79
0380, b8a2
0381, 7807
0382, 9f4e
0383, 7bf9
0384, e9e7
0385, e6c2
0386, 23be
0387, dc52
0388, 9019
0389, 4582
038a, 9677
038b, 126e
038c, 72d9
038d, 713e
038e, b797
038f, 9329
0390, 1fbe
0391, b5ce
0392, f99e
0393, c6f9
0394, 803e
0395, 2a7e
0396, 9db9
0397, 5359
0398, 39f9
0399, 6059
039a, ed2e
039b, b5b9
039c, 1fc9
039d, c65e
039e, 53fe
039f, 4ac9
03a0, 2e61
03a1, b42f
03a2, cd67
03a3, 7d53
03a4, 843f
03a5, 2d81
03a6, 4a4b
03a7, a44c
03a8, 6e53
03a9, aad2
03aa, 8a2f
03ab, 44db
03ac, 7eb3
03ad, ce86
03ae, ba3f
03af, 6db3
03b0, db9b
03b1, 05df
03b2, 2dbd
03b3, 9809
03b4, 9eff
03b5, d07b
03b6, e1a5
03b7, 0633
03b8, 9674
03b9, 9833
03ba, 9cdf
03bb, 5fa5
03bc, 7754
03bd, 2e6e
03be, 0dff
03bf, 79b4
03c0, 7131
03c1, c00f
03c2, 66d1
03c3, f8c5
03c4, fee9
03c5, 7f21
03c6, 9b63
03c7, 7d5e
03c8, f6ab
03c9, 6e8e
03ca, 2b0f
03cb, 0063
03cc, 11fb
03cd, 6828
03ce, 1d99
03cf, 1fcb
03d0, 9d4e
03d1, c86e
03d2, 65fd
03d3, 6e68
03d4, 29e3
03d5, 751e
03d6, 27f6
03d7, c841
03d8, 6c06
03d9, c7c7
03da, f70e
03db, 28d6
03dc, 0d86
03dd, 0ddd
03de, 1683
03df, 0576
03e0, d6e4
03e1, 7465
03e2, 2a71
03e3, 20c9
03e4, e495
03e5, d9b1
03e6, 4cd3
03e7, 1b33
03e8, 43c4
03e9, 22f3
03ea, e165
03eb, dea5
03ec, 1344
03ed, 2fb7
03ee, 7195
03ef, d024
03f0, ef7b
03f1, c9b8
03f2, 7a7e
03f3, cd43
03f4, ff8f
03f5, ea8d
03f6, 4d11
03f7, d544
03f8, f513
03f9, 1d29
03fa, 3678
03fb, 2521
03fc, a0c5
03fd, 7f8d
03fe, aa8f
03ff, 3323
0400, 5f9b
0401, c758
0402, 4a41
0403, af75
0404, 8d78
0405, 5a6e
0406, ada7
0407, 952d
0408, 3ab3
0409, ed1d
040a, 3898
040b, c531
040c, abf5
040d, 4fc4
040e, 05b8
040f, 3233
0410, 3115
0411, be72
0412, 0f57
0413, 1d50
0414, 9623
0415, aff2
0416, 3be4
0417, 90d1
0418, ce60
0419, 6b41
041a, ed75
041b, 4004
041c, b6fa
041d, 6188
041e, 782e
041f, 58aa
0420, 8df2
0421, df75
0422, c5f7
0423, c156
0424, 23c3
0425, 553e
0426, 3741
0427, 68bd
0428, c406
0429, 67ed
042a, 4ab3
042b, 38c4
042c, 5b9a
042d, fd37
042e, 1023
042f, 5266
0430, 3f09
0431, 0782
0432, b5b1
0433, 734b
0434, 41df
0435, 3a61
0436, 324e
0437, d805
0438, b02b
0439, 4763
043a, 8882
043b, ab12
043c, f5d9
043d, bde4
043e, 14df
043f, 3dd4
0440, 3e7a
0441, 79d8
0442, 6d31
0443, 7fd3
0444, 3c65
0445, 3d94
0446, fa3d
0447, 84ba
0448, 61d3
0449, 8a54
044a, 67d8
044b, f420
044c, b005
044d, 6e26
044e, d565
